samplenr,I,II,V1,V2,V3,V4,V5,V6,measurement
1158,-33.75,-30,157.5,75,-75,-195,-221.25,-195,-57.5
1159,0,-15,183.75,112.5,-52.5,-191.25,-221.25,-198.75,-42.5
1160,22.5,15,213.75,165,-15,-165,-206.25,-183.75,-17.083333333333332
1161,41.25,67.5,255,240,52.5,-108.75,-157.5,-138.75,27.916666666666668
1162,67.5,112.5,281.25,311.25,112.5,-56.25,-112.5,-97.5,68.75
1163,123.75,157.5,288.75,356.25,161.25,-11.25,-63.75,-56.25,106.25
1164,198.75,225,296.25,393.75,213.75,48.75,-7.5,0,152.08333333333334
1165,255,285,300,435,270,116.25,63.75,67.5,199.16666666666666
1166,307.5,337.5,288.75,480,333.75,195,150,146.25,248.75
1167,405,442.5,266.25,525,416.25,296.25,251.25,247.5,316.6666666666667
1168,480,558.75,232.5,543.75,487.5,397.5,363.75,356.25,380.0
1169,558.75,686.25,183.75,551.25,566.25,513.75,495,487.5,449.1666666666667
1170,633.75,840,157.5,592.5,678.75,660,656.25,645,540.4166666666666
1171,663.75,986.25,146.25,656.25,806.25,821.25,817.5,798.75,632.9166666666666
1172,735,1185,86.25,663.75,903.75,975,997.5,990,726.25
1173,836.25,1417.5,-30,618.75,990,1140,1203.75,1207.5,820.4166666666666
1174,907.5,1541.25,-138.75,562.5,1053.75,1275,1368.75,1372.5,882.5
1175,960,1567.5,-266.25,438.75,1050,1350,1466.25,1470,892.9166666666666
1176,937.5,1571.25,-352.5,330,1053.75,1417.5,1548.75,1548.75,895.0
1177,851.25,1522.5,-345,337.5,1121.25,1496.25,1612.5,1578.75,908.3333333333334
1178,776.25,1455,-322.5,352.5,1177.5,1552.5,1642.5,1571.25,911.6666666666666
1179,697.5,1425,-333.75,285,1181.25,1571.25,1650,1563.75,893.3333333333334
1180,603.75,1357.5,-367.5,157.5,1102.5,1496.25,1575,1488.75,823.75
1181,502.5,1222.5,-375,26.25,952.5,1320,1395,1320,707.0833333333334
1182,367.5,1042.5,-333.75,-75,776.25,1080,1143.75,1095,566.25
1183,187.5,843.75,-303.75,-187.5,558.75,810,873.75,866.25,405.4166666666667
