samplenr,I,II,V1,V2,V3,V4,V5,V6,measurement
239,-686.25,-195,221.25,191.25,213.75,48.75,105,93.75,-0.8333333333333334
240,-697.5,-198.75,225,206.25,228.75,60,108.75,101.25,3.75
241,-675,-206.25,213.75,202.5,221.25,48.75,105,97.5,0.8333333333333334
242,-660,-210,191.25,183.75,202.5,37.5,90,86.25,-8.75
243,-660,-198.75,195,180,202.5,41.25,93.75,90,-6.25
244,-663.75,-180,213.75,187.5,213.75,48.75,101.25,93.75,1.6666666666666667
245,-663.75,-183.75,210,183.75,210,45,97.5,90,-1.25
246,-667.5,-206.25,195,176.25,198.75,33.75,86.25,78.75,-11.666666666666666
247,-671.25,-225,187.5,165,191.25,22.5,75,71.25,-20.416666666666668
248,-667.5,-221.25,198.75,168.75,191.25,26.25,82.5,75,-16.25
249,-701.25,-210,210,180,202.5,37.5,90,82.5,-12.083333333333334
250,-727.5,-206.25,210,180,198.75,37.5,93.75,82.5,-14.583333333333334
251,-693.75,-195,206.25,180,198.75,33.75,90,78.75,-11.25
252,-645,-180,206.25,187.5,210,41.25,97.5,86.25,0.4166666666666667
253,-648.75,-183.75,210,191.25,210,45,101.25,93.75,2.0833333333333335
254,-656.25,-180,210,187.5,198.75,41.25,93.75,90,-1.6666666666666667
255,-648.75,-172.5,206.25,183.75,202.5,41.25,93.75,90,-0.4166666666666667
256,-648.75,-176.25,202.5,183.75,206.25,41.25,93.75,90,-0.8333333333333334
257,-656.25,-187.5,210,187.5,210,48.75,101.25,97.5,1.25
258,-667.5,-202.5,210,187.5,210,45,101.25,90,-2.9166666666666665
259,-663.75,-206.25,210,176.25,198.75,37.5,93.75,82.5,-7.916666666666667
260,-671.25,-198.75,221.25,183.75,202.5,45,101.25,90,-2.9166666666666665
261,-675,-180,236.25,202.5,225,60,116.25,101.25,9.583333333333334
262,-675,-165,232.5,198.75,221.25,56.25,108.75,93.75,7.916666666666667
263,-667.5,-161.25,228.75,191.25,210,45,101.25,86.25,3.75
264,-645,-142.5,243.75,210,225,60,112.5,101.25,18.333333333333332
265,-641.25,-146.25,251.25,217.5,232.5,67.5,120,108.75,23.333333333333332
266,-648.75,-165,243.75,213.75,225,60,112.5,105,16.25
267,-645,-161.25,236.25,213.75,221.25,56.25,105,97.5,13.75
268,-633.75,-146.25,243.75,217.5,228.75,60,108.75,101.25,20.0
269,-667.5,-146.25,255,225,236.25,71.25,120,112.5,22.916666666666668
270,-697.5,-161.25,255,221.25,228.75,71.25,120,112.5,16.666666666666668
271,-667.5,-161.25,240,206.25,217.5,56.25,105,93.75,10.0
272,-637.5,-135,243.75,206.25,221.25,56.25,101.25,90,16.25
273,-641.25,-120,255,217.5,228.75,63.75,108.75,97.5,23.333333333333332
274,-663.75,-123.75,270,225,232.5,75,123.75,112.5,27.916666666666668
275,-652.5,-116.25,270,232.5,240,78.75,131.25,116.25,33.333333333333336
276,-641.25,-112.5,270,240,247.5,90,138.75,131.25,40.416666666666664
277,-648.75,-127.5,266.25,236.25,251.25,90,146.25,142.5,39.583333333333336
278,-645,-142.5,251.25,225,243.75,82.5,138.75,135,32.083333333333336
279,-645,-135,225,210,228.75,71.25,123.75,123.75,22.5
280,-630,-116.25,210,198.75,225,67.5,123.75,120,22.083333333333332
281,-615,-120,198.75,195,221.25,71.25,127.5,127.5,22.916666666666668
282,-626.25,-142.5,187.5,187.5,213.75,67.5,123.75,123.75,15.0
283,-626.25,-153.75,176.25,180,206.25,63.75,120,116.25,9.166666666666666
284,-615,-150,168.75,176.25,206.25,63.75,120,116.25,9.583333333333334
285,-600,-146.25,161.25,172.5,206.25,60,116.25,112.5,9.166666666666666
286,-607.5,-150,161.25,165,198.75,52.5,108.75,108.75,4.166666666666667
287,-645,-150,165,168.75,202.5,52.5,112.5,112.5,2.0833333333333335
